Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income,Sewage Company,Travel To Work Area,ITL level 2,ITL level 3,UPRNs,Distance to sea,LSOA21 Code,Lower layer super output area 2021,MSOA21 Code,Middle layer super output area 2021,Census output area 2021,IMD decile,Constituency Code 2024,Constituency Name 2024,Property Type
E18 1AB,Yes,51.592688,0.026767,540492,190150,TQ404901,"Greater London","Redbridge","South Woodford",E09000026,E05011252,England,E11000009,"Chingford and Woodford Green",1995-07-01,,"Redbridge, unparished area","",,,"Greater London","Redbridge","Redbridge 007A","Urban major conurbation",London,33,4,E01003668,,E02000757,"South Woodford High Road",E43000216,E00018497,E14000634,25877,1,0,2024-05-24,"South Woodford",0.150026,E,E18,"Metropolitan Police","Thames Water",9F32H2VG+3P,69100,"","London","Outer London - East and North East","Redbridge and Waltham Forest","10034921679,10034921682,10090503042,10090504701,10090504702,10090504703,100022986581",30.6714,E01003668,"Redbridge 007A",E02000757,"South Woodford High Road",E00018497,8,E14001334,"Leyton and Wanstead",
E18 1AD,Yes,51.592509,0.026280,540459,190129,TQ404901,"Greater London","Redbridge","South Woodford",E09000026,E05011252,England,E11000009,"Chingford and Woodford Green",1980-01-01,,"Redbridge, unparished area","",25,16,"Greater London","Redbridge","Redbridge 007A","Urban major conurbation",London,35,4,E01003668,,E02000757,"South Woodford High Road",E43000216,E00018497,E14000634,25877,1,0,2024-05-24,"South Woodford",0.156442,E,E18,"Metropolitan Police","Thames Water",9F32H2VG+2G,69100,"","London","Outer London - East and North East","Redbridge and Waltham Forest","10023190072,10023190225,10023192275,10023192276,10023771427,10023771993,10023772004,10023772077,10023772166,10023772180,10023772253,10034917302,10034917464,10034917832,10034918009,10034921666,10034921667,10034921668,10034921669,10034921683,10034923025,10034923027,10034923028,10034923029,10034927543,10034927545,10090504998,10090505482,10090505715,10091909915,10091940637,10091981743,10092045334,10093037792,10093039219,10093040483,10093040484,10093040485,10093040486,10093040487,10093040488,10094820992,10094820993,10094821710,10094822425,10094822427,10096143393,10096144200,10096144216,10096145521,10096145522,10096145523,10096145524,10096145525,10096145526,100022252404,100022252407,100022252408,100022252409,100022252410,100022252412,100022252413,100022252414,100022252416,100022252417,100022252418,100022252421,100022252422,100022252423,100022986630,100022986631,100022986632,100022986835,100022986836,100022986837,100022986838,100022987174,100022987175,100022987176,100022987218,100022987244,200002789448",30.6907,E01003668,"Redbridge 007A",E02000757,"South Woodford High Road",E00018497,8,E14001334,"Leyton and Wanstead",Flat
E18 1AG,Yes,51.592125,0.027074,540515,190088,TQ405900,"Greater London","Redbridge","South Woodford",E09000026,E05011252,England,E11000009,"Chingford and Woodford Green",1980-01-01,,"Redbridge, unparished area","",,,"Greater London","Redbridge","Redbridge 007A","Urban major conurbation",London,32,4,E01003668,,E02000757,"South Woodford High Road",E43000216,E00018497,E14000634,25877,1,0,2024-05-24,"South Woodford",0.0874313,E,E18,"Metropolitan Police","Thames Water",9F32H2RG+VR,69100,"","London","Outer London - East and North East","Redbridge and Waltham Forest","10013585766,10023191748,10023191924,10023770701,10034923385,10096143892,10096144996",30.622,E01003668,"Redbridge 007A",E02000757,"South Woodford High Road",E00018497,8,E14001334,"Leyton and Wanstead",Other
E18 1AH,Yes,51.592053,0.026579,540481,190079,TQ404900,"Greater London","Redbridge","South Woodford",E09000026,E05011252,England,E11000009,"Chingford and Woodford Green",1991-09-01,,"Redbridge, unparished area","",,,"Greater London","Redbridge","Redbridge 007A","Urban major conurbation",London,33,4,E01003668,,E02000757,"South Woodford High Road",E43000216,E00018481,E14000634,25877,1,0,2024-05-24,"South Woodford",0.109356,E,E18,"Metropolitan Police","Thames Water",9F32H2RG+RJ,69100,"","London","Outer London - East and North East","Redbridge and Waltham Forest","10023191932,10023191933,10034917858,10034923026,10034923030,100022987115,200002789429,200002789431,200002789432,200002789433",30.6477,E01003668,"Redbridge 007A",E02000757,"South Woodford High Road",E00018481,8,E14001334,"Leyton and Wanstead",
E18 1AN,Yes,51.592716,0.026710,540488,190153,TQ404901,"Greater London","Redbridge","South Woodford",E09000026,E05011252,England,E11000009,"Chingford and Woodford Green",1980-01-01,,"Redbridge, unparished area","",34,16,"Greater London","Redbridge","Redbridge 007A","Urban major conurbation",London,33,4,E01003668,,E02000757,"South Woodford High Road",E43000216,E00018497,E14000634,25877,1,0,2024-05-24,"South Woodford",0.15478,E,E18,"Metropolitan Police","Thames Water",9F32H2VG+3M,69100,"","London","Outer London - East and North East","Redbridge and Waltham Forest","10013586309,10023189175,10023189194,10023192281,10023192282,10023193563,10023770826,10023770827,10023770828,10023772009,10023772021,10023772251,10023772350,10025568512,10034917999,10034918008,10034918012,10034921670,10034921671,10034921672,10034921673,10034921674,10034921675,10034921676,10034921677,10034921684,10034921686,10034921689,10034921694,10034921695,10034921696,10034921697,10034921698,10034921699,10034921700,10034921701,10034921702,10034921703,10034927539,10034932442,10090502536,10090502537,10090502538,10090502539,10090504160,10090504161,10090504162,10090504318,10090505513,10090505514,10090505664,10090505665,10090505666,10090505667,10090505668,10090505669,10090505670,10090505671,10091780078,10091780079,10091780080,10091780081,10091780082,10093035853,10093038318,10093038319,10093040181,10093040182,10093040183,10093040184,10093040185,10093040186,10093040187,10093040188,10093040189,10093040627,10093040628,10094818950,10094818951,10094818952,10094818953,10094820531,10094820561,10094820699,10094820792,1009",30.6764,E01003668,"Redbridge 007A",E02000757,"South Woodford High Road",E00018497,8,E14001334,"Leyton and Wanstead",Flat
E18 1AP,Yes,51.590802,0.026189,540458,189939,TQ404899,"Greater London","Redbridge","South Woodford",E09000026,E05011252,England,E11000009,"Chingford and Woodford Green",1980-01-01,,"Redbridge, unparished area","",131,50,"Greater London","Redbridge","Redbridge 007A","Urban major conurbation",London,33,4,E01003668,,E02000757,"South Woodford High Road",E43000216,E00018481,E14000634,25877,1,0,2024-05-24,"South Woodford",0.147042,E,E18,"Metropolitan Police","Thames Water",9F32H2RG+8F,69100,"","London","Outer London - East and North East","Redbridge and Waltham Forest","10023771327,10023771539,10023771540,10023772385,10023772486,10023773443,10023773965,10023773966,10023773967,10025170104,10034927674,10034927675,10034927676,10034927677,10034927678,10034927679,10034927680,10034927683,10090503787,10090503788,10090503789,10094818676,10094819729,10094822111,10094822112,10094822162,10096143744,100022255939,100022255940,100022255941,100022255942,100022255943,100022255944,100022255945,100022255946,100022255947,100022255948,100022255949,100022255950,100022255951,100022255952,100022255953,100022255954,100022255955,100022255956,100022255957,100022255959,100022255967,100022255969,100022255978,100022255979,100022255980,100022255982,100022255983,100022255984,100022255985,100022255986,100022255987,100022255988,100022255989,100022255990,100022255991,100022255994,100023583378,100023684174,100023684176,100023684177,100023684181,100023684182,100023684183,100023684184,100023684186",30.6028,E01003668,"Redbridge 007A",E02000757,"South Woodford High Road",E00018481,8,E14001334,"Leyton and Wanstead",Terraced
E18 1AQ,Yes,51.592186,0.026265,540459,190093,TQ404900,"Greater London","Redbridge","South Woodford",E09000026,E05011252,England,E11000009,"Chingford and Woodford Green",2005-07-01,,"Redbridge, unparished area","",65,42,"Greater London","Redbridge","Redbridge 007A","Urban major conurbation",London,34,4,E01003668,,E02000757,"South Woodford High Road",E43000216,E00018497,E14000634,25877,1,0,2024-05-24,"South Woodford",0.135547,E,E18,"Metropolitan Police","Thames Water",9F32H2RG+VG,69100,"","London","Outer London - East and North East","Redbridge and Waltham Forest","10034910433,10034910434,10034910435,10034910436,10034910437,10034910438,10034910439,10034910440,10034910441,10034910442,10034910443,10034910444,10034910445,10034910446,10034910447,10034910448,10034910449,10034910450,10034910451,10034910452,10034910453,10034910454,10034910455,10034910456,10034910457,10034910458,10034910459,10034910460,10034910461,10034910462,10034910463,10034910464,10034910465,10034910466,10034910467,10034910468,10034910469,10034910470,10034910471,10034910472,10034910473,10034910474,10090505558,10094821700,10094821701,10094821702,10094821703",30.6739,E01003668,"Redbridge 007A",E02000757,"South Woodford High Road",E00018497,8,E14001334,"Leyton and Wanstead",Flat
E18 1AR,Yes,51.591713,0.026547,540480,190041,TQ404900,"Greater London","Redbridge","South Woodford",E09000026,E05011252,England,E11000009,"Chingford and Woodford Green",1980-01-01,,"Redbridge, unparished area","",20,8,"Greater London","Redbridge","Redbridge 007A","Urban major conurbation",London,33,4,E01003668,,E02000757,"South Woodford High Road",E43000216,E00018481,E14000634,25877,1,0,2024-05-24,"South Woodford",0.0980108,E,E18,"Metropolitan Police","Thames Water",9F32H2RG+MJ,69100,"","London","Outer London - East and North East","Redbridge and Waltham Forest","10015351258,10015744232,10023773207,10023773404,10025173983,10034910309,10034923023,10034932537,10093037029,10094820991,10094820994,10094820995,10094820996,10094820997,10094820998,10094820999,100022255958,100022255960,100022255963,100022255965,100022255966,100022255968,100022255970,100023683956,100023684178,100023684179,200002789427",30.631,E01003668,"Redbridge 007A",E02000757,"South Woodford High Road",E00018481,8,E14001334,"Leyton and Wanstead",Terraced
E18 1AU,Yes,51.592831,0.026325,540461,190165,TQ404901,"Greater London","Redbridge","South Woodford",E09000026,E05011252,England,E11000009,"Chingford and Woodford Green",1980-01-01,,"Redbridge, unparished area","",,,"Greater London","Redbridge","Redbridge 007A","Urban major conurbation",London,35,4,E01003668,,E02000757,"South Woodford High Road",E43000216,E00018497,E14000634,25877,1,1,2024-05-24,"South Woodford",0.180707,E,E18,"Metropolitan Police","Thames Water",9F32H2VG+4G,69100,"","London","Outer London - East and North East","Redbridge and Waltham Forest","10023192279,10023192280",30.7058,E01003668,"Redbridge 007A",E02000757,"South Woodford High Road",E00018497,8,E14001334,"Leyton and Wanstead",
E18 1AY,Yes,51.593832,0.024580,540337,190273,TQ403902,"Greater London","Redbridge","South Woodford",E09000026,E05011252,England,E11000009,"Chingford and Woodford Green",1980-01-01,,"Redbridge, unparished area","",29,13,"Greater London","Redbridge","Redbridge 007G","Urban major conurbation",London,40,4,E01003674,,E02000757,"South Woodford High Road",E43000216,E00018496,E14000634,25801,1,0,2024-05-24,"South Woodford",0.343585,E,E18,"Metropolitan Police","Thames Water",9F32H2VF+GR,69100,"","London","Outer London - East and North East","Redbridge and Waltham Forest","10023189272,10023189863,10023191954,10023192265,10023192266,10023192267,10023192268,10023192269,10023192270,10023192271,10023192272,10023192273,10023192274,10023193001,10023769937,10023770848,10023771493,10023773594,10025568543,10025572000,10034917840,10034921687,10034921692,10034921704,10034921705,10034932445,10090502286,10090502287,10090502288,10090503053,10090505288,10090506027,10093035856,10093038357,10093038659,10093038660,10093038661,10093038662,10093038694,10093038695,10093040325,10093040352,10093040819,10094818680,10094821827,10094823609,10094823610,10096145434,10096146206,10096146607,10096146608,100022252427,100022252428,100022252441,100022986591,100022986593,100022986594,100022986595,100022986596,100022986597,100022986598,100022986599,100022986600,100022986601,100022986602,100022986615,100022986659,100022986660,100022986661,100022986662,100022986664,100022986842,100022987135,100022987151,100022987163,100022987170,100022987171,100022987173,100022987179,100022987180,100022987195,100022987198,100022987",30.8656,E01003674,"Redbridge 007G",E02000757,"South Woodford High Road",E00018496,8,E14001334,"Leyton and Wanstead",Other
